Ranking,University,City,State,Region,Founded,Students_count,Staff_count,Setting,Latitude,Longitude,Air_quality
457,University of New Orleans,New Orleans ,Louisiana,Southeast,1956,9999,599,Urban,29.950621,-90.074948,1
458,University of Central Arkansas,Conway ,Arkansas,Southeast,1907,14999,799,Urban,35.091798,-92.4367,1
461,Pitzer College,Claremont ,California,West,1963,1999,199,Suburban,34.096606,-117.719315,1
465,Pacific University,Forest Grove ,Oregon,West,1849,4999,599,Suburban,45.518392,-123.11119,1
470,Xavier University,Cincinnati ,Ohio,Midwest,1831,7999,899,Urban,39.104427,-84.513808,1
482,Claremont Graduate University,Claremont ,California,West,1925,2999,199,Suburban,34.096606,-117.719315,1
485,Champlain College,Burlington ,Vermont,Northeast,1878,6999,199,Urban,44.475949,-73.212481,1
488,Samford University,Birmingham ,Alabama,Southeast,1841,5999,399,Suburban,33.522859,-86.807705,1
496,Louisiana Tech University,Ruston ,Louisiana,Southeast,1894,14999,499,Rural,32.532435,-92.639039,1
500,University of Arkansas for Medical Sciences,Little Rock ,Arkansas,Southeast,1879,3999,1499,Urban,34.748745,-92.275105,1
502,Gustavus Adolphus College,St. Peter ,Minnesota,Midwest,1862,2999,299,Suburban,44.323871,-93.959297,1
519,University of Wisconsin-Stout,Menomonie ,Wisconsin,Midwest,1891,14999,499,Rural,44.876467,-91.929799,1
524,Lawrence University,Appleton ,Wisconsin,Midwest,1847,1999,299,Urban,44.261982,-88.40724,1
527,Hamline University,Saint Paul ,Minnesota,Midwest,1854,5999,399,Urban,44.943719,-93.094281,1
528,St. Catherine University,Saint Paul ,Minnesota,Midwest,1905,5999,499,Urban,44.943719,-93.094281,1
529,Louisiana State University Health Sciences Center,New Orleans ,Louisiana,Southeast,1931,3999,1499,Urban,29.950621,-90.074948,1
530,Claremont McKenna College,Claremont ,California,West,1946,1999,199,Suburban,34.096606,-117.719315,1
531,Rhodes College,Memphis ,Tennessee,Southeast,1848,2999,299,Urban,35.143378,-90.052136,1
533,Western Oregon University,Monmouth ,Oregon,West,1856,6999,399,Suburban,44.848552,-123.23732,1
545,Southern Oregon University,Ashland ,Oregon,West,1926,7999,399,Suburban,42.190417,-122.703274,1
546,California Lutheran University,Thousand Oaks ,California,West,1959,4999,199,Urban,34.176083,-118.848743,1
548,Southern Utah University,Cedar City ,Utah,West,1897,19999,499,Rural,37.677344,-113.061742,1
549,North Carolina Central University,Durham ,North Carolina,Southeast,1910,9999,699,Urban,35.996948,-78.899023,1
552,University of Hawaii at Manoa,Honolulu ,Hawaii,Northeast,1907,24999,2499,Urban,21.30992,-157.858158,1
563,High Point University,High Point ,North Carolina,Southeast,1924,5999,399,Urban,35.953972,-80.003935,1
566,Southeastern Louisiana University,Hammond ,Louisiana,Southeast,1925,19999,699,Urban,30.503682,-90.458285,1
573,Augsburg University,Minneapolis ,Minnesota,Midwest,1869,4999,399,Urban,44.977479,-93.264346,1
583,University of La Verne,La Verne ,California,West,1891,9999,799,Suburban,34.111558,-117.765873,1
590,University of Portland,Portland ,Oregon,West,1901,5999,599,Urban,45.516018,-122.681425,1
591,"The Citadel, The Military College of South Carolina",Charleston ,South Carolina,Southeast,1842,4999,399,Urban,32.77647,-79.931027,1
592,Minneapolis College of Art and Design,Minneapolis ,Minnesota,Midwest,1886,999,199,Urban,44.977479,-93.264346,1
597,Beloit College,Beloit ,Wisconsin,Midwest,1846,1999,199,Urban,42.499646,-89.033615,1
600,Mills College,Oakland ,California,West,1852,1999,199,Urban,37.804828,-122.27248,1
609,The University of Texas at Tyler,Tyler ,Texas,Southwest,1971,14999,499,Suburban,32.350763,-95.300644,1
619,Regis University,Denver ,Colorado,West,1877,14999,799,Urban,39.738453,-104.984853,1
625,Hendrix College,Conway ,Arkansas,Southeast,1876,1999,199,Suburban,35.091798,-92.4367,1
631,Bethel University,Saint Paul ,Minnesota,Midwest,1871,4999,499,Suburban,44.943719,-93.094281,1
635,South University,Savannah ,Georgia,Southeast,1899,1999,199,Urban,32.08059,-81.090103,1
636,George Fox University,Newberg ,Oregon,West,1891,4999,699,Suburban,45.300317,-122.979156,1
641,University of Redlands,Redlands ,California,West,1907,5999,299,Urban,34.055562,-117.182603,1
642,California State University Channel Islands,Camarillo ,California,West,2002,8999,499,Suburban,34.225403,-119.050667,1
644,Dominican University of California,San Rafael ,California,West,1890,1999,399,Urban,37.974575,-122.531868,1
649,University of Wisconsin-Platteville,Platteville ,Wisconsin,Midwest,1866,9999,499,Rural,42.732914,-90.4781,1
655,Hawaii Pacific University,Honolulu ,Hawaii,Northeast,1965,4999,399,Urban,21.30992,-157.858158,1
665,"California State University, Bakersfield",Bakersfield ,California,West,1965,14999,699,Urban,35.373405,-119.018911,1
673,The College of St. Scholastica,Duluth ,Minnesota,Midwest,1912,5999,499,Urban,46.782882,-92.105457,1
692,Winona State University,Winona ,Minnesota,Midwest,1858,8999,599,Rural,44.049877,-91.639366,1
700,Shenandoah University,Winchester ,Virginia,Southeast,1875,5999,499,Urban,39.177858,-78.169844,1
718,University of Wisconsin-River Falls,River Falls ,Wisconsin,Midwest,1874,6999,399,Rural,44.861644,-92.624347,1
730,St. Norbert College,De Pere ,Wisconsin,Midwest,1898,2999,199,Suburban,44.44754,-88.070584,1
733,Bellevue College,Bellevue ,Washington,West,1966,24999,499,Suburban,47.613702,-122.190934,1
738,Augustana University,Sioux Falls ,South Dakota,Midwest,1860,2999,199,Urban,43.488765,-96.743185,1
746,"Concordia University, St. Paul",Saint Paul ,Minnesota,Midwest,1893,6999,399,Urban,44.943719,-93.094281,1
761,College of Southern Nevada,Las Vegas ,Nevada,West,1971,45000,599,Urban,36.169202,-115.140597,1
764,St. Mary's College of Maryland,St. Mary's City ,Maryland,Southeast,1840,1999,299,Suburban,38.186901,-76.4347,1
769,Westmont College,Santa Barbara ,California,West,1937,1999,299,Suburban,34.420867,-119.698342,1
777,Scripps College,Claremont ,California,West,1926,1999,199,Suburban,34.096606,-117.719315,1
779,Oregon Institute of Technology,Klamath Falls ,Oregon,West,1947,8999,199,Rural,42.224918,-121.780952,1
795,Wartburg College,Waverly ,Iowa,Midwest,1852,1999,99,Rural,42.725714,-92.475648,1
798,University of Dallas,Irving ,Texas,Southwest,1956,2999,299,Urban,32.813879,-96.949933,1
800,Southern University and A&M College,Baton Rouge ,Louisiana,Southeast,1880,6999,299,Urban,30.443319,-91.187488,1
807,Linfield University,McMinnville ,Oregon,West,1858,1999,199,Rural,45.210028,-123.192128,1
825,Xavier University of Louisiana,New Orleans ,Louisiana,Southeast,1925,3999,299,Urban,29.950621,-90.074948,1
833,Western University of Health Sciences,Pomona ,California,West,1977,3999,399,Suburban,34.055118,-117.750048,1
836,Keck Graduate Institute,Claremont ,California,West,1997,999,99,Suburban,34.096606,-117.719315,1
839,University of Louisiana at Monroe,Monroe ,Louisiana,Southeast,1931,14999,399,Urban,32.500759,-92.111225,1
840,Louisiana State University in Shreveport,Shreveport ,Louisiana,Southeast,1967,7999,299,Urban,32.51424,-93.747757,1
846,Bemidji State University,Bemidji ,Minnesota,Midwest,1919,6999,299,Rural,47.472647,-94.879661,1
870,Northwest Nazarene University,Nampa ,Idaho,West,1913,6999,199,Suburban,43.585322,-116.573581,1
872,Northwestern State University of Louisiana,Natchitoches ,Louisiana,Southeast,1884,14999,599,Rural,31.753482,-93.087377,1
882,Montana State University Billings,Billings ,Montana,West,1927,5999,399,Urban,45.78265,-108.504578,1
884,Saint Mary's University of Minnesota,Winona ,Minnesota,Midwest,1912,7999,499,Rural,44.049877,-91.639366,1
885,Eastern Oregon University,La Grande ,Oregon,West,1929,4999,199,Rural,45.324565,-118.087985,1
895,University of Mary,Bismarck ,North Dakota,Midwest,1959,4999,399,Rural,46.80537,-100.781609,1
901,Mayo Clinic College of Medicine and Science,Rochester ,Minnesota,Midwest,1972,1999,699,Urban,44.019331,-92.458867,1
903,University of Wisconsin-Superior,Superior ,Wisconsin,Midwest,1893,3999,199,Suburban,46.72064,-92.097919,1
912,Southern Adventist University,Collegedale ,Tennessee,Southeast,1892,3999,199,Suburban,35.05286,-85.048644,1
924,McNeese State University,Lake Charles ,Louisiana,Southeast,1939,8999,299,Urban,30.229289,-93.217112,1
929,Delta State University,Cleveland ,Mississippi,Southeast,1924,5999,299,Rural,33.747697,-90.721696,1
941,Ripon College,Ripon ,Wisconsin,Midwest,1851,999,99,Rural,43.84154,-88.835355,1
942,Lewis-Clark State College,Lewiston ,Idaho,West,1893,4999,199,Urban,46.419101,-117.019012,1
943,Centenary College of Louisiana,Shreveport ,Louisiana,Southeast,1825,999,99,Urban,32.51424,-93.747757,1
944,Metropolitan State University,Saint Paul ,Minnesota,Midwest,1971,14999,699,Urban,44.943719,-93.094281,1
945,Grambling State University,Grambling ,Louisiana,Southeast,1901,6999,199,Rural,32.529843,-92.713617,1
946,Dillard University,New Orleans ,Louisiana,Southeast,1869,1999,199,Urban,29.950621,-90.074948,1
956,Pacific Union College,Angwin ,California,West,1882,1999,99,Rural,38.575715,-122.450037,1
962,Mitchell Hamline School of Law,Saint Paul ,Minnesota,Midwest,2015,1999,499,Urban,44.943719,-93.094281,1
965,Fresno Pacific University,Fresno ,California,West,1944,5999,199,Urban,36.731654,-119.785856,1
974,Buena Vista University,Storm Lake ,Iowa,Midwest,1891,2999,599,Rural,42.640945,-95.200862,1
979,LeTourneau University,Longview ,Texas,Southwest,1946,3999,299,Urban,32.494556,-94.742336,1
988,Whitworth University,Spokane ,Washington,West,1890,2999,199,Suburban,47.658999,-117.425022,1
994,Walla Walla University,College Place ,Washington,West,1892,2999,199,Suburban,46.0439,-118.378229,1
1008,Henderson State University,Arkadelphia ,Arkansas,Southeast,1890,3999,299,Rural,34.120959,-93.053523,1
1012,Saint Martin's University,Lacey ,Washington,West,1895,1999,299,Suburban,47.043299,-122.823152,1
1013,California State University Maritime Academy,Vallejo ,California,West,1929,1999,99,Urban,38.101088,-122.254959,1
1014,Doane University,Crete ,Nebraska,Midwest,1872,1999,199,Rural,40.625243,-96.957913,1
1024,Upper Iowa University,Fayette ,Iowa,Midwest,1857,8999,99,Rural,42.842107,-91.800913,1
1025,Chaminade University of Honolulu,Honolulu ,Hawaii,Northeast,1955,2999,99,Urban,21.30992,-157.858158,1
1026,Southeastern Oklahoma State University,Durant ,Oklahoma,Southwest,1909,5999,199,Rural,33.991879,-96.387254,1
1034,Southwestern Oklahoma State University,Weatherford ,Oklahoma,Southwest,1901,6999,299,Rural,35.526058,-98.704959,1
1052,Ouachita Baptist University,Arkadelphia ,Arkansas,Southeast,1886,1999,199,Suburban,34.120959,-93.053523,1
1062,University of Hawaii at Hilo,Hilo ,Hawaii,Northeast,1970,4999,399,Rural,19.725258,-155.089086,1
1083,Nebraska Wesleyan University,Lincoln ,Nebraska,Midwest,1887,4999,399,Urban,40.813599,-96.70261,1
1087,Fielding Graduate University,Santa Barbara ,California,West,1974,1999,199,Urban,34.420867,-119.698342,1
1096,University of Sioux Falls,Sioux Falls ,South Dakota,Midwest,1883,2999,199,Urban,43.488765,-96.743185,1
1110,Southern Arkansas University,Magnolia ,Arkansas,Southeast,1909,5999,299,Rural,33.272642,-93.232869,1
1123,Dallas Baptist University,Dallas ,Texas,Southwest,1898,5999,199,Urban,32.777977,-96.796215,1
1129,University of the Cumberlands,Williamsburg ,Kentucky,Southeast,1888,19999,699,Rural,36.740616,-84.162089,1
1133,Catawba College,Salisbury ,North Carolina,Southeast,1851,1999,199,Suburban,35.668328,-80.470993,1
1134,Samuel Merritt University,Oakland ,California,West,1909,2999,399,Urban,37.804828,-122.27248,1
1135,"Concordia University, Nebraska",Seward ,Nebraska,Midwest,1894,3999,99,Rural,40.907826,-97.09908,1
1143,Prescott College,Prescott ,Arizona,Southwest,1966,999,99,Urban,34.541445,-112.470124,1
1147,Thomas Aquinas College,Santa Paula ,California,West,1971,499,99,Rural,34.35395,-119.059977,1
1149,Alaska Pacific University,Anchorage ,Alaska,Outside,1957,999,99,Urban,61.216583,-149.899597,1
1155,Minot State University,Minot ,North Dakota,Midwest,1913,3999,399,Rural,48.235533,-101.296061,1
1159,Viterbo University,La Crosse ,Wisconsin,Midwest,1890,4999,399,Urban,43.808767,-91.25186,1
1170,Athens State University,Athens ,Alabama,Southeast,1822,4999,299,Suburban,34.812785,-86.961888,1
1173,Rocky Mountain College,Billings ,Montana,West,1878,1999,99,Urban,45.78265,-108.504578,1
1197,Brevard College,Brevard ,North Carolina,Southeast,1853,999,99,Suburban,35.233785,-82.734319,1
1228,University of Northwestern - St. Paul,Saint Paul ,Minnesota,Midwest,1902,3999,99,Suburban,44.943719,-93.094281,1
1243,Snow College,Ephraim ,Utah,West,1888,6999,199,Rural,39.359772,-111.584173,1
1267,University of Alaska Southeast,Juneau ,Alaska,Outside,1956,4999,199,Rural,58.301084,-134.424524,1
1285,Holy Names University,Oakland ,California,West,1868,1999,199,Urban,37.804828,-122.27248,1
1293,The College of Idaho,Caldwell ,Idaho,West,1891,999,199,Suburban,43.662853,-116.687705,1
1294,University of Arkansas at Monticello,Monticello ,Arkansas,Southeast,1909,4999,199,Rural,33.628965,-91.79085,1
1306,Hastings College,Hastings ,Nebraska,Midwest,1882,1999,99,Rural,40.588918,-98.393718,1
1309,East Texas Baptist University,Marshall ,Texas,Southwest,1912,1999,99,Rural,32.545002,-94.363315,1
1315,Louisiana College,Pineville ,Louisiana,Southeast,1906,1999,199,Suburban,31.333403,-92.414311,1
1321,Sierra Nevada University,Incline Village ,Nevada,West,1969,1999,199,Rural,39.250317,-119.961845,1
