Ranking,University,City,State,Region,Founded,Students_count,Staff_count,Setting,Latitude,Longitude,Air_quality
1476,"Union College, Kentucky",Barbourville ,Kentucky,Southeast,1879,1999,99,Rural,36.867283,-83.889121,1
1477,University of Alaska Anchorage,Anchorage ,Alaska,Outside,1954,24999,1499,Urban,61.216583,-149.899597,1
1478,Metropolitan College of New York,New York City ,New York,Northeast,1964,1999,299,Urban,40.713054,-74.007228,2
1479,Abraham Baldwin Agricultural College,Tifton ,Georgia,Southeast,1908,6999,299,Rural,31.450487,-83.508944,2
1480,Granite State College,Concord ,New Hampshire,Northeast,1972,3999,199,Suburban,43.208452,-71.536941,2
1481,Florida National University,Hialeah ,Florida,Southeast,1988,7999,199,Suburban,25.827202,-80.281502,2
1482,Parker University,Dallas ,Texas,Southwest,1982,1999,199,Urban,32.777977,-96.796215,1
1483,Landmark College,Putney ,Vermont,Northeast,1985,999,99,Rural,42.975246,-72.52169,2
1484,Brewton-Parker College,Mount Vernon ,Georgia,Southeast,1904,999,50,Rural,32.181424,-82.594872,2
1485,William James College,Newton ,Massachusetts,Northeast,1974,999,199,Urban,42.338028,-71.211578,2
1486,Louisiana State University Health Sciences Center-Shreveport,Shreveport ,Louisiana,Southeast,1969,1999,599,Urban,32.51424,-93.747757,1
1487,Ohio Christian University,Circleville ,Ohio,Midwest,1948,5999,199,Rural,39.60188,-82.945073,2
1488,Roseman University of Health Sciences,Henderson ,Nevada,West,1999,1999,399,Urban,36.034095,-114.984455,2
1489,William Penn University,Oskaloosa ,Iowa,Midwest,1873,1999,99,Rural,41.296244,-92.645022,2
1490,Pacifica Graduate Institute,Carpinteria ,California,West,1974,999,199,Suburban,34.398922,-119.518363,1
1491,Indian River State College,Fort Pierce ,Florida,Southeast,1959,24999,899,Suburban,27.447119,-80.337237,2
1492,The King's College,New York City ,New York,Northeast,1938,999,99,Urban,40.713054,-74.007228,2
1493,Centralia College,Centralia ,Washington,West,1925,5999,199,Suburban,46.718217,-122.964066,2
1494,Texas A&M University-San Antonio,San Antonio ,Texas,Southwest,2009,6999,N/A,N/A,29.425173,-98.494599,2
1495,Bay State College,Boston ,Massachusetts,Northeast,1946,1999,99,Urban,42.358894,-71.056742,2
1496,Bushnell University,Eugene ,Oregon,West,1895,1999,50,Urban,44.052153,-123.091195,1
1497,Union Institute & University,Cincinnati ,Ohio,Midwest,1964,1999,299,Urban,39.104427,-84.513808,2
1498,Life Pacific College,San Dimas ,California,West,1923,999,99,Suburban,34.106678,-117.802753,1
1499,Faith Baptist Bible College and Theological Seminary,Ankeny ,Iowa,Midwest,1921,499,50,Suburban,41.72508,-93.600414,2
1500,Marymount Manhattan College,New York City ,New York,Northeast,1936,2999,399,Urban,40.713054,-74.007228,2
1501,Adler Graduate School,Minnetonka ,Minnesota,Midwest,1969,499,99,Suburban,44.938058,-93.466322,1
1502,Felician University,Lodi ,New Jersey,Northeast,1942,2999,299,Suburban,40.883146,-74.079159,2
1503,Wingate University,Wingate ,North Carolina,Southeast,1896,3999,199,Suburban,34.985475,-80.448846,2
1504,Calumet College of St. Joseph,Whiting ,Indiana,Midwest,1951,1999,99,Suburban,41.679255,-87.499121,2
1505,Salem College,Winston-Salem ,North Carolina,Southeast,1772,1999,199,Urban,36.096261,-80.243735,2
1506,Bluefield State College,Bluefield ,West Virginia,Southeast,1895,1999,199,Rural,37.269683,-81.223318,2
1507,Northwest Florida State College,Niceville ,Florida,Southeast,1963,7999,299,Rural,30.518721,-86.478152,2
1508,St. Thomas Aquinas College,Sparkill ,New York,Northeast,1952,2999,199,Suburban,41.029965,-73.928265,2
1509,Oakland City University,Oakland City ,Indiana,Midwest,1885,1999,199,Rural,38.339999,-87.34446,2
1510,Mitchell College,New London ,Connecticut,Northeast,1938,999,50,Urban,41.355167,-72.099561,2
1511,Cairn University,Langhorne ,Pennsylvania,Northeast,1913,1999,199,Suburban,40.176768,-74.917008,2
1512,Massachusetts School of Law,Andover ,Massachusetts,Northeast,1988,499,99,Suburban,42.655245,-71.139666,2
1513,Davis and Elkins College,Elkins ,West Virginia,Southeast,1904,999,99,Rural,38.923814,-79.844297,2
1514,Maryland University of Integrative Health,Laurel ,Maryland,Southeast,1974,1999,50,Suburban,39.099535,-76.848374,2
1515,Saint Elizabeth University,Morristown ,New Jersey,Northeast,1899,1999,199,Suburban,40.79664,-74.481595,2
1516,Central Baptist College,Conway ,Arkansas,Southeast,1952,999,199,Urban,35.091798,-92.4367,1
1517,Baptist Health Sciences University,Memphis ,Tennessee,Southeast,1912,1999,99,Urban,35.143378,-90.052136,2
1518,New York Academy of Art,New York City ,New York,Northeast,1982,250,99,Urban,40.713054,-74.007228,2
1519,Missouri Valley College,Marshall ,Missouri,Midwest,1889,1999,199,Rural,39.114478,-93.19492,2
1520,Rust College,Holly Springs ,Mississippi,Southeast,1866,999,99,Rural,34.767501,-89.444805,2
1521,Cottey College,Nevada ,Missouri,Midwest,1884,499,99,Rural,37.837233,-94.359373,2
1522,Albertus Magnus College,New Haven ,Connecticut,Northeast,1925,1999,299,Urban,41.308252,-72.924161,2
1523,Arizona Christian University,Phoenix ,Arizona,Southwest,1960,999,99,Urban,33.448204,-112.072585,4
